# Time-averaged data for fix Ave
# TimeStep v_HAg v_HTe
6900 0.0179039 -4.59197
6910 0.0186296 -4.58881
6920 0.0187964 -4.59107
6930 0.0185933 -4.59706
6940 0.0183429 -4.60322
6950 0.0183087 -4.60649
6960 0.0184822 -4.60597
6970 0.0186726 -4.60247
6980 0.0188011 -4.59757
6990 0.0189176 -4.59278
7000 0.0190432 -4.58888
7010 0.0191682 -4.58657
7020 0.0192559 -4.58593
7030 0.0191984 -4.58573
7040 0.0188185 -4.58465
7050 0.0180039 -4.58127
7060 0.0168853 -4.57591
7070 0.015791 -4.57027
7080 0.0149591 -4.56708
7090 0.0143256 -4.56868
7100 0.0136591 -4.57471
7110 0.0127809 -4.58269
7120 0.0117048 -4.58953
7130 0.0105746 -4.59354
7140 0.00960989 -4.59531
7150 0.00905376 -4.59561
7160 0.00908758 -4.59547
7170 0.0096652 -4.59452
7180 0.0105388 -4.59281
7190 0.0114629 -4.59025
7200 0.0123818 -4.58818
7210 0.0134065 -4.58848
7220 0.0146639 -4.59172
7230 0.0162151 -4.59625
7240 0.0178823 -4.6
7250 0.0192277 -4.60144
7260 0.0199233 -4.60007
7270 0.0201122 -4.59681
7280 0.0201898 -4.5935
7290 0.0203961 -4.59169
7300 0.0207265 -4.59255
7310 0.0210911 -4.59605
7320 0.0214407 -4.60113
7330 0.0217897 -4.60593
7340 0.0221566 -4.609
7350 0.0225 -4.60956
7360 0.0227227 -4.60762
7370 0.0226837 -4.60454
7380 0.02229 -4.60185
7390 0.0215993 -4.60074
7400 0.0208646 -4.60109
7410 0.0203658 -4.60165
7420 0.0202403 -4.60166
7430 0.0204077 -4.60064
7440 0.0206462 -4.59879
7450 0.0207038 -4.59673
7460 0.0204002 -4.59516
7470 0.0196661 -4.59512
7480 0.0185939 -4.59738
7490 0.0174728 -4.60079
7500 0.0166328 -4.60339
7510 0.0162167 -4.60355
7520 0.0161779 -4.60016
7530 0.0163579 -4.59448
7540 0.0165751 -4.58912
7550 0.016688 -4.5868
7560 0.0166446 -4.58803
7570 0.0164642 -4.59103
7580 0.016197 -4.59333
7590 0.0158762 -4.59341
7600 0.0154854 -4.59137
7610 0.0149872 -4.58902
7620 0.0144256 -4.58808
7630 0.0139559 -4.58944
7640 0.0137511 -4.59248
7650 0.0138728 -4.5953
7660 0.014264 -4.59669
7670 0.0147861 -4.59683
7680 0.0153013 -4.59703
7690 0.0157306 -4.59874
7700 0.0160532 -4.60161
7710 0.0162845 -4.60393
7720 0.0164278 -4.60398
7730 0.0164798 -4.60117
7740 0.0165069 -4.5966
7750 0.0167084 -4.59147
7760 0.01729 -4.58664
7770 0.0182848 -4.58328
7780 0.019517 -4.58257
7790 0.0207109 -4.58528
7800 0.0216054 -4.59056
7810 0.0219285 -4.59718
7820 0.0214975 -4.60313
7830 0.0203822 -4.60691
7840 0.0189383 -4.60771
7850 0.0176981 -4.60621
7860 0.0171634 -4.6038
7870 0.0176733 -4.6021
7880 0.0193352 -4.60125
7890 0.0218027 -4.60001
7900 0.024229 -4.59785
7910 0.0257559 -4.59479
7920 0.0260333 -4.59122
7930 0.0252321 -4.58852
7940 0.0237558 -4.58782
7950 0.0220634 -4.59005
7960 0.0205462 -4.59433
7970 0.0194692 -4.59886
