# Time-averaged data for fix 2
# TimeStep c_flux[1] c_flux[2] c_flux[3] c_flux[4] c_flux[5] c_flux[6] c_Ag_mom[1] c_Ag_mom[2] c_Ag_mom[3]
2070 -386.379 -172.863 235.034 -347.993 -103.103 164.782 -10995.9 -3294.65 5010.18
2080 -361.459 -158.351 275.704 -327.433 -93.7167 202.544 -10356 -3000.84 6214.85
2090 -337.422 -144.558 307.349 -303.2 -81.4856 231.783 -9590.37 -2607.33 7145.28
2100 -309.874 -128.518 322.619 -274.925 -66.9013 252.138 -8675.34 -2127.41 7776.35
2110 -276.916 -108.808 321.73 -240.669 -51.2623 265.325 -7558.93 -1615.16 8170.63
2120 -239.903 -87.4904 313.743 -198.635 -36.8457 274.123 -6214.98 -1164.89 8445.78
2130 -199.483 -68.6243 311.308 -148.386 -25.6853 280.569 -4655.74 -851.442 8701.96
2140 -150.706 -53.9096 321.205 -90.9594 -17.7127 286.413 -2911.53 -669.222 8989.35
2150 -87.1294 -42.5861 338.695 -29.0235 -11.4595 293.865 -1034.39 -549.994 9333.57
2160 -7.49651 -32.3612 354.031 33.2666 -4.90534 304.803 882.972 -415.147 9743.96
2170 81.7078 -20.4351 363.497 91.2032 3.40848 318.228 2706.03 -210.14 10178.2
2180 167.146 -5.3202 370.727 141.216 13.6674 329.136 4301.99 85.3711 10513.7
2190 234.295 12.6655 376.916 181.782 25.6997 331.482 5587.06 465.708 10589.4
2200 274.205 30.7127 373.759 212.482 38.9019 322.093 6527.33 905.015 10296.3
2210 287.189 46.8039 350.95 232.804 51.778 301.753 7114.46 1342.71 9633.15
2220 281.211 60.2718 308.649 241.535 61.3652 273.545 7341.76 1676.48 8693.57
2230 265.839 69.385 259.498 237.2 64.6589 239.955 7197.63 1802.9 7595.4
2240 244.885 69.4201 217.626 219.178 60.3222 202.046 6680.03 1676.31 6415.46
2250 217.037 56.4649 186.681 188.863 49.5943 161.587 5809.27 1328.99 5206.86
2260 176.649 32.0671 157.034 148.86 34.3794 122.285 4632.14 827.819 4042.84
2270 121.38 3.45239 117.696 102.379 14.8911 87.6024 3225 202.641 2985.32
2280 56.0728 -24.3866 68.5268 52.4536 -10.216 58.1284 1676.18 -568.63 2042.07
2290 -12.0094 -53.6441 17.7765 1.63805 -42.2251 31.9874 76.4915 -1519.9 1178.59
2300 -77.7797 -90.3291 -25.4798 -46.8666 -80.8333 6.83041 -1467.46 -2654.66 347.508
2310 -137.924 -136.396 -58.0864 -89.5047 -123.488 -19.1713 -2838.17 -3919.13 -490.974
2320 -186.136 -186.505 -83.1167 -123.364 -166.167 -46.1699 -3926.44 -5200.68 -1347.25
2330 -216.202 -231.918 -106.344 -146.213 -204.383 -72.5778 -4643.95 -6356.68 -2189.49
2340 -227.537 -268.006 -131.682 -156.813 -234.471 -96.5022 -4948.18 -7264.06 -2969.34
2350 -223.651 -295.43 -158.222 -156.014 -254.377 -117.395 -4871.89 -7857.49 -3665.46
2360 -208.798 -314.745 -181.154 -146.714 -263.764 -136.692 -4511.58 -8122.12 -4291.26
2370 -187.371 -322.301 -196.059 -132.517 -262.844 -155.357 -3984.34 -8061.47 -4864.6
2380 -162.816 -311.954 -202.854 -116.632 -252.029 -172.677 -3398.76 -7684.51 -5375.95
2390 -138.447 -281.058 -203.528 -101.256 -231.776 -186.436 -2841.41 -7014.62 -5782.7
2400 -122.111 -236.152 -198.98 -87.4757 -202.828 -194.193 -2366.26 -6098.13 -6036.28
2410 -119.869 -188.822 -189.169 -75.3463 -166.814 -194.97 -1992.79 -4999.27 -6109.82
2420 -131.002 -146.189 -173.669 -64.9936 -125.878 -189.304 -1717.53 -3776.85 -6000.87
2430 -146.7 -105.075 -152.277 -56.8495 -82.1099 -179.157 -1528.92 -2463.62 -5737.12
2440 -157.484 -56.3099 -125.907 -51.4114 -37.2301 -167.142 -1407.21 -1080.34 -5374.23
2450 -157.041 3.36037 -97.132 -48.0681 6.76488 -154.727 -1320.21 323.19 -4959
2460 -148.091 65.3548 -69.3588 -45.4997 47.5218 -141.048 -1233.04 1652.68 -4495.03
2470 -134.889 115.48 -43.5935 -42.306 82.6013 -123.836 -1122.99 2799.61 -3938.38
2480 -119.46 146.005 -17.3351 -38.1346 109.836 -101.031 -986.685 3680.74 -3222.15
2490 -102.01 160.614 14.4029 -33.0737 127.725 -72.0909 -824.13 4263.11 -2301.19
2500 -83.0437 169.358 54.323 -26.0335 136.548 -38.1492 -607.889 4571.54 -1186.1
2510 -64.6818 179.063 98.5017 -15.2683 138.241 -0.97047 -291.535 4669.22 54.7251
2520 -47.2612 188.326 139.673 -0.731385 135.491 36.9575 132.3 4621.47 1315.85
2530 -29.6899 190.829 174.789 14.7262 130.598 73.1055 594.695 4477.93 2504.36
2540 -13.7059 181.508 204.578 26.7348 124.973 106.48 976.017 4278.98 3590.03
2550 -3.94698 161.051 228.853 31.6781 119.153 137.509 1162.2 4052.44 4587.15
2560 -6.22939 133.937 247.215 27.7418 112.331 165.767 1081.2 3794.51 5488.12
2570 -23.1782 105.673 261.368 15.0174 102.931 189.301 711.65 3475.64 6239.05
2580 -54.1404 78.112 273.692 -4.94364 90.1909 206.333 78.7478 3077.61 6785.4
2590 -94.5898 49.0598 284.703 -29.8708 75.0757 216.984 -755.877 2619.96 7122.43
2600 -136.738 16.3189 293.029 -57.3271 59.8503 222.687 -1698.36 2147.22 7290.83
2610 -169.876 -19.0904 296.527 -84.6468 46.0318 224.767 -2631.52 1695.8 7340.62
2620 -187.591 -52.3671 293.657 -109.366 33.9228 223.773 -3443.5 1278.35 7307.29
2630 -191.155 -77.7838 285.07 -128.884 23.0873 219.291 -4053.08 898.425 7197.66
2640 -186.938 -91.7374 272.726 -140.9 13.352 210.145 -4415.41 570.634 6974.08
2650 -179.319 -94.4241 255.898 -144.173 5.33916 194.547 -4516.85 321.986 6561.5
2660 -168.014 -88.597 231.312 -139.187 0.209287 171.736 -4367.57 178.34 5896.7
2670 -147.551 -78.095 195.69 -127.894 -1.36525 142.249 -4008.79 145.129 4968.25
2680 -116.069 -65.1681 148.739 -113.068 0.296754 107.376 -3508.02 198.114 3807.41
2690 -77.24 -50.5326 92.2026 -96.2961 3.86546 68.4915 -2929.32 295.939 2466.49
2700 -38.3559 -33.63 30.0561 -77.892 8.17299 27.3876 -2313.97 402.932 1020.29
2710 -3.69391 -15.136 -31.6593 -57.5856 12.8173 -13.8961 -1676.36 506.686 -434.118
2720 28.0799 2.94318 -85.948 -34.9315 18.2097 -53.3725 -1005.56 614.096 -1797.61
2730 58.0499 17.8884 -129.354 -9.99185 23.8792 -88.7845 -280.41 715.356 -2983.58
2740 88.7644 27.7495 -163.942 16.6718 27.4777 -117.479 506.302 752.035 -3919.51
2750 120.28 30.5458 -193.134 43.6289 25.8587 -137.191 1332.15 646.53 -4555.75
2760 148.521 23.5091 -216.599 69.0426 18.0596 -147.117 2142.39 376.477 -4876.13
2770 168.612 5.06785 -230.12 90.9788 6.7256 -147.983 2858.62 15.1217 -4891.1
2780 177.244 -21.8166 -230.134 107.32 -3.09085 -141.199 3398.98 -295.382 -4625.59
2790 174.369 -49.0438 -216.588 116.18 -6.6846 -127.614 3702.47 -416.883 -4117.76
2800 163.303 -67.1189 -194.008 117.106 -2.1664 -108.139 3756.46 -282.832 -3422.12
